MeterId,ProductName,SKU,Region,Location,Price,Currency,ServiceFamily,Unit,EffectiveDate,Type
172d79b7-2211-5015-9727-091e9784acb9,Azure Database for MySQL Flexible Server�Memory Optimized�Edsv4 Series Compute,vCore,uksouth,UK South,683.0,USD,Databases,1 Hour,2025-06-01T00:00:00Z,Reservation
172d79b7-2211-5015-9727-091e9784acb9,Azure Database for MySQL Flexible Server�Memory Optimized�Edsv4 Series Compute,vCore,uksouth,UK South,1366.0,USD,Databases,1 Hour,2025-06-01T00:00:00Z,Reservation
b369edf1-0b41-5bf0-ac66-6d72b9e22aaf,Azure Database for MySQL Flexible Server Memory Optimized Easv6 Series Compute,vCore,belgiumcentral,BE Central,0.1429,USD,Databases,1 Hour,2025-09-01T00:00:00Z,Consumption
3a01a77e-d78e-5296-bc7b-3edee79fd1d8,Azure Database for MySQL Standard Storage,Standard,chilecentral,CL Central,0.103936,USD,Databases,1 GB/Month,2025-04-01T00:00:00Z,Consumption
3a0bc2bc-6f37-539a-b39e-3a3f62aff653,Az DB for MySQL Flexible Server Storage,Paid IO LRS,uaecentral,AE Central,0.3718,USD,Databases,1M,2022-10-01T00:00:00Z,Consumption
3a2e0500-c4f5-5c24-b3ce-c2ce4d44ba96,Azure Database for MySQL Flexible Server Burstable BS Series Compute,Basic,ukwest,UK West,0.0095,USD,Databases,1 Hour,2025-03-01T00:00:00Z,Consumption
3a36f4e3-88b0-5b71-aade-271e87923fae,Azure Database for MySQL Flexible Server�Memory Optimized�Edsv4 Series Compute,1 vCore,westus2,US West 2,0.1181,USD,Databases,1 Hour,2021-08-01T00:00:00Z,Consumption
3a39a84d-70d1-4ff5-a5fa-9523f70855c1,Azure Database for MySQL Single Server General Purpose - Storage,General Purpose,uksouth,UK South,0.1334,USD,Databases,1 GB/Month,2018-05-01T00:00:00Z,Consumption
3a447917-ea03-5126-9f91-4ffeed343779,Azure Database for MySQL Flexible Server Memory Optimized Eadsv6 Series Compute,1 vCore,australiaeast,AU East,0.1418,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Consumption
3a4cf310-60fc-5319-b44f-63bf56c49afb,Azure Database for MySQL Flexible Server General Purpose Ddsv6 Series Compute,1 vCore,uaenorth,AE North,0.122265,USD,Databases,1 Hour,2025-08-01T00:00:00Z,Consumption
d67d1a23-7f2f-5654-a693-1c361fd1383f,Azure Database for MySQL Flexible Server�Memory Optimized�Edsv4 Series Compute,Standard_Eas,ukwest,UK West,0.1299,USD,Databases,1 Hour,2025-06-01T00:00:00Z,Consumption
3a661e91-3154-5966-8fb5-0aa48eba5154,Azure Database for MySQL Flexible Server General Purpose Ddsv6 Series Compute,1 vCore,southafricanorth,ZA North,0.12483,USD,Databases,1 Hour,2025-08-01T00:00:00Z,Consumption
3a8b33d9-4fdd-5831-8f1d-e4ccd0fbc3e4,Azure Database for MySQL Flexible Server General Purpose Ddsv4 Series Compute,1 vCore,westeurope,EU West,0.1015,USD,Databases,1 Hour,2021-08-01T00:00:00Z,Consumption
3a92d009-60c8-5872-9ced-a8823ae50a6b,Azure Database for MySQL Flexible Server Burstable BS Series Compute,Standard_B4ms,japaneast,JA East,0.416,USD,Databases,1 Hour,2022-05-01T00:00:00Z,Consumption
3a9b831b-e215-5ac9-8d23-8e3f1dccc751,Azure Database for MySQL Flexible Server Memory Optimized Edsv5 Series Compute,Standard_E64d_v5,westus3,US West 3,8.39,USD,Databases,1 Hour,2022-07-01T00:00:00Z,Consumption
db382cdd-e954-429c-b28c-efd816ed19df,Azure Database for MySQL Single Server General Purpose - Compute Gen5,vCore,uaecentral,AE Central,0.137,USD,Databases,1 Hour,2025-06-01T00:00:00Z,Consumption
db382cdd-e954-429c-b28c-efd816ed19df,Azure Database for MySQL Single Server General Purpose - Compute Gen5,vCore,uaecentral,AE Central,796.0,USD,Databases,1 Hour,2025-06-01T00:00:00Z,Reservation
